Time,HHMMSS,.075mm,.125mm,.175mm,.225mm,.275mm,.325mm,.375mm,.4375mm,.5125mm,.5875mm,.6625mm,.75mm,.85mm,.95mm,1.1mm,1.3mm,1.5mm,1.7mm,1.9mm
28433.16,75353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28434.16,75354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28435.16,75355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28436.16,75356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28437.16,75357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28438.16,75358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28439.16,75359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28440.16,75400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28441.16,75401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28442.16,75402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28443.16,75403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28444.16,75404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28445.16,75405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28446.16,75406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28447.16,75407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28448.16,75408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28449.16,75409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28450.16,75410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28451.16,75411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28452.16,75412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28453.16,75413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28454.16,75414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28455.16,75415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28456.16,75416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28457.16,75417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28458.16,75418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28459.16,75419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28460.16,75420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28461.16,75421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28462.16,75422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28463.16,75423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28464.16,75424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28465.16,75425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28466.16,75426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28467.16,75427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28468.16,75428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28469.16,75429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28470.16,75430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28471.16,75431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28472.16,75432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28473.16,75433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28474.16,75434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28475.16,75435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28476.16,75436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28477.16,75437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28478.16,75438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28479.16,75439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28480.16,75440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28481.16,75441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28482.16,75442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28483.16,75443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28484.16,75444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28485.16,75445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28486.16,75446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28487.16,75447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28488.16,75448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28489.16,75449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28490.16,75450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28491.16,75451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28492.16,75452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28493.16,75453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28494.16,75454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28495.16,75455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28496.16,75456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28497.16,75457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28498.16,75458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28499.16,75459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28500.16,75500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28501.16,75501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28502.16,75502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28503.16,75503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28504.16,75504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28505.16,75505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28506.16,75506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28507.16,75507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28508.16,75508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28509.16,75509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28510.16,75510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28511.16,75511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28512.16,75512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28513.16,75513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28514.16,75514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
