Time,Hour,Minute,Second,Air Temp [C],TAS [m/s],Pres Alt [m],.03mm,.05mm,.07mm,.09mm,.11mm,.13mm,.15mm,.17mm,.20mm,.24mm,.28mm,.32mm,.36mm,.40mm,.44mm,.48mm,.55mm,.65mm,.75mm,.85mm,.95mum,1.1mm,1.3mm,1.5mm,1.7mm,1.9mm,22.5mm,27.5mm
37681,10,28,1.16,5.2076,87.079,1351.2,2.91E+05,6.32E+05,2.87E+05,5.87E+05,1.94E+05,1.75E+05,69700,69200,8560,0,8330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37682,10,28,2.16,5.2,86.918,1351.1,4.01E+05,5.43E+05,5.93E+05,4.46E+05,2.48E+05,87900,52400,69300,34300,8460,8340,8230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37683,10,28,3.16,5.1871,86.85,1350.9,2.92E+05,4.53E+05,3.78E+05,3.75E+05,2.48E+05,1.76E+05,1.75E+05,34700,34300,8460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37684,10,28,4.16,5.185,86.403,1351,3.12E+05,5.46E+05,3.98E+05,4.49E+05,2.85E+05,1.59E+05,70200,87200,25900,17000,8390,8280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37685,10,28,5.16,5.1806,85.934,1350.8,3.69E+05,5.49E+05,4.72E+05,4.15E+05,1.79E+05,53300,70600,52600,17300,8550,0,8330,0,0,0,0,3090,0,0,0,0,0,0,0,0,0,0,0
37686,10,28,6.16,5.1237,86.21,1350.9,3.68E+05,4.56E+05,4.89E+05,5.39E+05,1.61E+05,1.42E+05,52800,34900,34600,8530,8410,8300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37687,10,28,7.16,5.1155,86.105,1350.1,2.21E+05,4.02E+05,6.35E+05,3.60E+05,1.43E+05,1.42E+05,1.59E+05,35000,17300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37688,10,28,8.16,5.115,86.141,1349.2,4.60E+05,5.11E+05,4.71E+05,3.24E+05,2.68E+05,1.06E+05,0,35000,17300,8530,8420,0,0,0,0,0,3080,0,0,0,0,0,0,0,0,0,0,0
37689,10,28,9.16,5.1246,86.271,1349,2.57E+05,3.83E+05,5.61E+05,4.31E+05,3.03E+05,1.59E+05,52800,34900,34600,0,0,8290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37690,10,28,10.16,5.1197,86.635,1348.5,3.11E+05,3.81E+05,7.03E+05,5.19E+05,1.95E+05,35300,17500,69600,25800,0,8370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37691,10,28,11.16,5.1114,86.781,1348.1,3.10E+05,3.44E+05,6.84E+05,4.11E+05,1.60E+05,1.23E+05,35000,69400,17200,16900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37692,10,28,12.16,5.1338,86.755,1347.4,4.38E+05,5.26E+05,3.96E+05,3.22E+05,2.13E+05,88100,52500,34700,17200,33900,8360,0,0,0,0,0,0,2970,0,0,0,0,0,0,0,0,0,0
37693,10,28,13.16,5.1392,86.51,1347,2.75E+05,4.18E+05,2.89E+05,2.51E+05,1.78E+05,70700,1.40E+05,69700,8620,8500,8380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37694,10,28,14.16,5.1334,86.452,1347,2.75E+05,4.55E+05,3.97E+05,2.51E+05,2.31E+05,1.06E+05,70200,34900,25900,0,8390,8280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37695,10,28,15.16,5.164,86.621,1346.7,2.56E+05,4.00E+05,2.52E+05,5.01E+05,88800,52900,87600,1.22E+05,17200,17000,8370,0,0,0,0,0,0,2980,2890,0,0,0,0,0,0,0,0,0
37696,10,28,16.16,5.2365,86.335,1346.6,3.49E+05,3.10E+05,5.25E+05,4.67E+05,1.96E+05,88500,35100,17400,25900,25500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37697,10,28,17.16,5.2379,86.415,1346.6,4.03E+05,3.46E+05,4.34E+05,3.59E+05,1.42E+05,1.24E+05,35100,1.05E+05,25900,25500,8390,0,0,0,0,0,0,2980,0,0,0,0,0,0,0,0,0,0
37698,10,28,18.16,5.2095,86.664,1346.4,4.39E+05,4.90E+05,4.50E+05,3.22E+05,1.78E+05,1.23E+05,35000,52200,17200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37699,10,28,19.16,5.2225,86.541,1346.9,3.85E+05,4.36E+05,2.89E+05,2.69E+05,3.02E+05,1.77E+05,70100,17400,25800,0,8380,8270,0,0,7950,0,0,0,0,0,0,0,0,0,0,0,0,0
37700,10,28,20.16,5.2041,86.822,1347,3.47E+05,2.90E+05,4.14E+05,4.29E+05,1.24E+05,1.76E+05,69900,69400,17200,0,0,0,16300,0,0,0,0,0,0,0,2720,0,0,0,0,0,0,0
37701,10,28,21.16,5.1957,87.068,1347.8,3.82E+05,4.34E+05,3.59E+05,2.67E+05,2.47E+05,70200,69700,0,25700,16900,16700,0,0,0,0,7800,0,0,0,0,0,0,0,0,0,0,0,0
37702,10,28,22.16,5.2626,86.179,1348.5,3.31E+05,2.37E+05,3.44E+05,2.16E+05,1.79E+05,1.24E+05,35200,69900,17300,0,8410,0,8190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37703,10,28,23.16,5.2575,85.838,1348.3,4.62E+05,3.85E+05,2.91E+05,4.33E+05,1.43E+05,53400,53000,35100,8680,8560,0,0,8220,0,8010,0,0,0,0,0,0,0,0,0,0,0,0,0
37704,10,28,24.16,5.1753,86.167,1348.7,3.13E+05,3.83E+05,2.36E+05,2.70E+05,2.50E+05,53200,52800,17500,26000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37705,10,28,25.16,5.1719,85.971,1348.8,3.32E+05,3.48E+05,4.36E+05,1.98E+05,1.25E+05,71100,52900,70100,17300,0,8430,8320,8210,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0
37706,10,28,26.16,5.1943,85.529,1347.8,2.59E+05,3.31E+05,4.20E+05,3.63E+05,1.26E+05,35700,1.60E+05,35200,17400,8590,8480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37707,10,28,27.16,5.1707,85.641,1346.9,2.96E+05,2.02E+05,2.55E+05,2.72E+05,1.62E+05,1.07E+05,35400,17600,26100,0,0,8350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37708,10,28,28.16,5.1633,85.797,1346.5,3.51E+05,2.75E+05,2.91E+05,2.35E+05,35900,53400,53100,1.05E+05,8690,8570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37709,10,28,29.16,5.174,85.448,1345.1,2.78E+05,3.31E+05,3.29E+05,3.08E+05,1.80E+05,1.61E+05,71000,35300,43600,8600,0,0,0,8150,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37710,10,28,30.16,5.1779,85.731,1344.4,2.96E+05,2.75E+05,4.92E+05,3.07E+05,1.44E+05,17800,53100,35100,34800,8570,16900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37711,10,28,31.16,5.2015,86.141,1344,3.50E+05,3.83E+05,3.26E+05,2.34E+05,71500,1.24E+05,17600,35000,8650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37712,10,28,32.16,5.2441,86.055,1343.4,2.03E+05,4.39E+05,3.63E+05,3.96E+05,1.07E+05,35500,70500,35000,26000,8540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37713,10,28,33.16,5.2433,86.273,1343.2,3.49E+05,4.01E+05,4.71E+05,4.67E+05,1.43E+05,53100,35200,34900,8640,0,8410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37714,10,28,34.16,5.2873,86.101,1343.1,1.66E+05,4.20E+05,3.26E+05,3.06E+05,89400,71000,35200,17500,0,8540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37715,10,28,35.16,5.3142,85.727,1343.1,2.22E+05,3.49E+05,3.46E+05,2.35E+05,1.44E+05,1.07E+05,70800,17600,0,0,8460,8350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37716,10,28,36.16,5.2771,85.587,1343.7,2.96E+05,4.23E+05,3.28E+05,1.99E+05,1.62E+05,89300,35500,35200,17400,0,0,0,16500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37717,10,28,37.16,5.2485,85.27,1343,2.97E+05,3.14E+05,4.21E+05,3.09E+05,1.26E+05,71700,53400,35300,17500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37718,10,28,38.16,5.1964,85.297,1343.1,2.23E+05,2.58E+05,2.56E+05,2.54E+05,1.44E+05,17900,17800,53000,8740,8620,0,0,8280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37719,10,28,39.16,5.173,84.885,1343.9,2.99E+05,3.52E+05,2.94E+05,2.56E+05,90700,72000,17900,71000,8780,17300,8540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37720,10,28,40.16,5.1681,84.888,1344.3,1.87E+05,2.22E+05,2.76E+05,2.37E+05,54400,36000,71500,71000,8780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37721,10,28,41.16,5.1455,85.398,1345,2.60E+05,2.76E+05,3.84E+05,1.27E+05,1.26E+05,89500,17800,17600,26200,8610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37722,10,28,42.16,5.166,85.519,1345.6,3.52E+05,2.58E+05,3.83E+05,2.36E+05,72000,71500,1.06E+05,17600,8720,8600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37723,10,28,43.16,5.1844,85.57,1345.5,3.33E+05,2.39E+05,1.64E+05,2.36E+05,71900,71400,35500,17600,0,17200,8470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37724,10,28,44.16,5.195,85.618,1346.2,2.04E+05,2.76E+05,3.47E+05,2.35E+05,1.44E+05,71400,53200,52800,17400,8590,0,0,8250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37725,10,28,45.16,5.2282,85.681,1346.5,3.70E+05,2.94E+05,3.10E+05,1.99E+05,89800,71300,35400,52700,8700,0,0,0,0,0,0,0,3100,0,0,0,0,0,0,0,0,0,0,0
37726,10,28,46.16,5.2753,85.555,1346.6,3.15E+05,3.13E+05,3.47E+05,2.54E+05,1.08E+05,1.25E+05,53200,17600,8710,0,8480,0,8250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37727,10,28,47.16,5.2549,85.878,1347.5,2.95E+05,4.03E+05,1.27E+05,2.53E+05,2.33E+05,1.78E+05,17700,52600,8680,8560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37728,10,28,48.16,5.2375,86.339,1347.8,1.47E+05,2.92E+05,3.98E+05,1.98E+05,1.43E+05,88500,35100,17400,34500,8510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37729,10,28,49.16,5.2547,86.296,1348.8,4.22E+05,3.28E+05,2.71E+05,2.34E+05,1.25E+05,0,52700,34900,17300,34100,0,0,0,0,0,0,0,2990,0,0,0,0,0,0,0,0,0,0
37730,10,28,50.16,5.2343,86.437,1349,3.85E+05,3.64E+05,2.89E+05,1.79E+05,1.42E+05,88400,52700,17400,34500,8500,0,0,8170,0,7960,0,0,0,0,0,0,0,0,0,0,0,0,0
